"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.IngredientTest","","praktikum.IngredientTest","returnNameOfIngredient","returnNameOfIngredient",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","1","","praktikum.BunTest","","praktikum.BunTest","returnPriceOfBun[Тестовые данные: red bun 300]","returnPriceOfBun[Тестовые данные: red bun 300]",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.BunTest","","praktikum.BunTest","returnPriceOfBun[Тестовые данные: white bun 200]","returnPriceOfBun[Тестовые данные: white bun 200]",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","184","","praktikum.BurgerTest","","praktikum.BurgerTest","checkGetReceipt","checkGetReceipt",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","3","","praktikum.BurgerTest","","praktikum.BurgerTest","checkGetPrice","checkGetPrice",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.BurgerTest","","praktikum.BurgerTest","checkAddIngredient","checkAddIngredient",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.BunTest","","praktikum.BunTest","returnNameOfBun[Тестовые данные: white bun 200]","returnNameOfBun[Тестовые данные: white bun 200]",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.BurgerTest","","praktikum.BurgerTest","checkRemoveIngredient","checkRemoveIngredient",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","4","","praktikum.BunTest","","praktikum.BunTest","returnNameOfBun[Тестовые данные: black bun 100]","returnNameOfBun[Тестовые данные: black bun 100]",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.IngredientTest","","praktikum.IngredientTest","returnPriceOfIngredient","returnPriceOfIngredient",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.BurgerTest","","praktikum.BurgerTest","checkSetBuns","checkSetBuns",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.BurgerTest","","praktikum.BurgerTest","checkMoveIngredient","checkMoveIngredient",""
"passed","Sun Jun 29 16:31:34 MSK 2025","Sun Jun 29 16:31:34 MSK 2025","30","","praktikum.IngredientTypeTest","","praktikum.IngredientTypeTest","getTypeOfIngredient","getTypeOfIngredient",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","1","","praktikum.BunTest","","praktikum.BunTest","returnNameOfBun[Тестовые данные: red bun 300]","returnNameOfBun[Тестовые данные: red bun 300]",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","1","","praktikum.BunTest","","praktikum.BunTest","returnPriceOfBun[Тестовые данные: black bun 100]","returnPriceOfBun[Тестовые данные: black bun 100]",""
"passed","Sun Jun 29 16:31:35 MSK 2025","Sun Jun 29 16:31:35 MSK 2025","0","","praktikum.IngredientTest","","praktikum.IngredientTest","returnTypeOfIngredient","returnTypeOfIngredient",""
